a_exp,t_cou,t_des3,t_fee,p_fla,p_work
学生,中国台湾,留学进修,"学校经费, 费用自理",初级,交通科学与工程学院
学生,中国台湾,留学进修,"学校经费, 费用自理",良好,软件学院
学生,中国台湾,留学进修,"学校经费, 费用自理",良好,土木工程学院
学生,中国台湾,留学进修,"学校经费, 费用自理",良好,电子与信息工程学院
学生,中国台湾,留学进修,"学校经费, 费用自理",良好,航天学院
学生,中国台湾,留学进修,"学校经费, 费用自理",初级,人文与社会科学学院
学生,中国台湾,留学进修,"学校经费, 费用自理",优秀,计算机科学与技术学院
学生,中国台湾,留学进修,"学校经费, 费用自理",良好,人文与社会科学学院
学生,中国台湾,留学进修,"学校经费, 费用自理",优秀,电气工程及自动化学院
学生,中国台湾,留学进修,"学校经费, 费用自理",一般,人文与社会科学学院
学生,中国台湾,留学进修,"学校经费, 费用自理",一般,机电工程学院
教师,中国台湾,留学进修,"学校经费, 费用自理",优秀,建筑学院
学生,中国台湾,留学进修,"学校经费, 费用自理",优秀,建筑学院
教师,香港,合作研究,学校经费,一般,校本部机关
教师,美国,国际会议,"学校经费, 科研经费",优秀,电子与信息工程学院
教师,中国台湾,访问考察,科研经费,良好,机电工程学院
学生,英国，法国，比利时，荷兰，德国,访问考察,费用自理,良好,电子与信息工程学院
教师,爱尔兰,国际会议,科研经费,优秀,经济与管理学院
学生,澳大利亚,留学进修,学校经费,良好,土木工程学院
教师,澳大利亚,合作研究,科研经费,良好,建筑学院
教师,美国,国际会议,科研经费,良好,威海校区
学生,澳门,访问考察,学校经费,优秀,机电工程学院
教师,韩国,国际会议,"学校经费, 科研经费",良好,经济与管理学院
教师,韩国,国际会议,学院经费,良好,经济与管理学院
教师,韩国,国际会议,学院经费,良好,经济与管理学院
教师,美国,访问考察,"科研经费, 费用自理",优秀,计算机科学与技术学院
教师,柬埔寨,国际会议,科研经费,优秀,航天学院
,美国,国际会议,学校经费,良好,土木工程学院
教师,日本,国际会议,科研经费,良好,计算机科学与技术学院
教师,日本,国际会议,科研经费,良好,计算机科学与技术学院
教师,日本,国际会议,科研经费,优秀,计算机科学与技术学院
教师,日本,国际会议,科研经费,良好,计算机科学与技术学院
学生,英国,留学进修,学校经费,优秀,航天学院
学生,俄罗斯,国际会议,学校经费,优秀,土木工程学院
学生,俄罗斯,国际会议,学校经费,良好,交通科学与工程学院
学生,俄罗斯,国际会议,学校经费,良好,机电工程学院
学生,俄罗斯,国际会议,学校经费,优秀,外国语学院
学生,俄罗斯,国际会议,学校经费,优秀,外国语学院
学生,俄罗斯,国际会议,学校经费,初级,体育部
学生,俄罗斯,国际会议,学校经费,良好,英才学院
学生,俄罗斯,国际会议,学校经费,良好,外国语学院
学生,俄罗斯,国际会议,学校经费,初级,人文与社会科学学院
学生,俄罗斯,国际会议,学校经费,一般,外国语学院
学生,俄罗斯,国际会议,学校经费,优秀,外国语学院
学生,俄罗斯,国际会议,学校经费,良好,航天学院
学生,俄罗斯,国际会议,学校经费,良好,化工学院
学生,俄罗斯,国际会议,学校经费,良好,人文与社会科学学院
学生,俄罗斯,国际会议,学校经费,一般,人文与社会科学学院
学生,美国,国际会议,"学校经费, 科研经费",良好,材料科学与工程学院
学生,日本,国际会议,科研经费,优秀,计算机科学与技术学院
学生,日本,国际会议,科研经费,一般,计算机科学与技术学院
学生,日本,国际会议,科研经费,良好,计算机科学与技术学院
学生,日本,国际会议,科研经费,良好,计算机科学与技术学院
教师,美国,访问考察,学校经费,优秀,化工学院
学生,德国,国际会议,科研经费,优秀,航天学院
学生,德国,合作研究,学校经费,良好,材料科学与工程学院
学生,法国,国际会议,学校经费,良好,市政环境工程学院
教师,美国,访问考察,"学校经费, 学院经费",良好,土木工程学院
教师,乌克兰,项目洽谈,学校经费,优秀,校本部机关
教师,乌克兰,项目洽谈,学校经费,优秀,能源科学与工程学院
教师,乌克兰,项目洽谈,学校经费,优秀,校本部机关
教师,乌克兰,项目洽谈,学校经费,优秀,电子与信息工程学院
教师,乌克兰,项目洽谈,学校经费,优秀,校本部机关
教师,澳大利亚,国际会议,科研经费,优秀,航天学院
教师,美国,访问考察,学校经费,良好,土木工程学院
学生,美国,合作研究,"学校经费, 科研经费",良好,交通科学与工程学院
教师,美国,合作研究,"学校经费, 学院经费",良好,经济与管理学院
教授,卡塔尔,合作研究,费用自理,一般,威海校区
副教授,卡塔尔,合作研究,费用自理,优秀,电子与信息工程学院
教授,卡塔尔,合作研究,费用自理,优秀,电子与信息工程学院
教师,卡塔尔,合作研究,费用自理,良好,电子与信息工程学院
教授,卡塔尔,合作研究,费用自理,良好,电子与信息工程学院
教师,卡塔尔,合作研究,费用自理,良好,电子与信息工程学院
教师,卡塔尔,合作研究,费用自理,优秀,电子与信息工程学院
教授,卡塔尔,合作研究,费用自理,良好,威海校区
教授,卡塔尔,合作研究,费用自理,一般,电子与信息工程学院
副教授,卡塔尔,合作研究,费用自理,一般,电子与信息工程学院
教授,卡塔尔,合作研究,费用自理,优秀,电子与信息工程学院
教师,日本,国际会议,科研经费,良好,计算机科学与技术学院
,美国,访问考察,"学校经费, 学院经费",优秀,校本部机关
教师,美国,访问考察,"学校经费, 学院经费",良好,经济与管理学院
教师,俄罗斯,国际会议,学校经费,优秀,航天学院
学生,美国,留学进修,费用自理,良好,电气工程及自动化学院
教师,韩国,国际会议,科研经费,优秀,建筑学院
教师,美国,访问考察,学院经费,良好,校本部机关
教师,美国,国际会议,科研经费,优秀,经济与管理学院
学生,匈牙利,国际会议,"学校经费, 科研经费",良好,航天学院
教师,澳大利亚,国际会议,"学校经费, 科研经费",良好,经济与管理学院
教师,美国,合作研究,学校经费,良好,计算机科学与技术学院
教师,德国,合作研究,"境外邀请方, 科研经费",良好,理学院
学生,中国台湾,留学进修,"学校经费, 费用自理",初级,英才学院
学生,中国台湾,留学进修,"学校经费, 费用自理",优秀,建筑学院
学生,中国台湾,留学进修,"学校经费, 费用自理",良好,建筑学院
学生,中国台湾,留学进修,"学校经费, 费用自理",优秀,建筑学院
学生,中国台湾,留学进修,"学校经费, 费用自理",良好,市政环境工程学院
教授,古巴,国际会议,科研经费,优秀,经济与管理学院
教师,美国,留学进修,费用自理,优秀,电子与信息工程学院
学生,美国,访问考察,费用自理,良好,经济与管理学院
学生,美国,合作研究,费用自理,良好,电气工程及自动化学院
教师,俄罗斯,合作研究,学校经费,优秀,基础与交叉科学研究院
学生,美国,访问考察,费用自理,初级,威海校区
教师,意大利,合作研究,境外邀请方,良好,计算机科学与技术学院
教师,美国,合作研究,科研经费,良好,材料科学与工程学院
教师,日本,国际会议,费用自理,良好,威海校区
学生,俄罗斯,实习培训,学校经费,良好,外国语学院
学生,俄罗斯,实习培训,学校经费,一般,建筑学院
学生,比利时,合作研究,科研经费,优秀,航天学院
学生,比利时,合作研究,科研经费,一般,电子与信息工程学院
学生,比利时,合作研究,科研经费,优秀,航天学院
学生,比利时,合作研究,科研经费,良好,航天学院
学生,比利时,合作研究,科研经费,良好,航天学院
教师,香港,合作研究,科研经费,良好,理学院
教师,美国,国际会议,科研经费,优秀,生命科学与技术学院
副教授,美国,国际会议,"学校经费, 科研经费",良好,航天学院
教师,加拿大,国际会议,学校经费,优秀,外国语学院
教师,加拿大,国际会议,学校经费,优秀,外国语学院
学生,美国,留学进修,费用自理,优秀,外国语学院
学生,美国,留学进修,学院经费,良好,化工学院
教师,美国,国际会议,科研经费,良好,航天学院
学生,美国,访问考察,"学校经费, 学院经费",良好,经济与管理学院
学生,美国,访问考察,"学校经费, 学院经费",一般,经济与管理学院
学生,美国,访问考察,"学校经费, 学院经费",一般,经济与管理学院
学生,美国,访问考察,"学校经费, 学院经费",优秀,经济与管理学院
学生,美国,访问考察,"学校经费, 学院经费",优秀,经济与管理学院
学生,美国,访问考察,"学校经费, 学院经费",优秀,经济与管理学院
学生,美国,访问考察,"学校经费, 学院经费",良好,经济与管理学院
学生,美国,访问考察,"学校经费, 学院经费",优秀,经济与管理学院
教师,俄罗斯,合作研究,学校经费,良好,体育部
教师,荷兰,国际会议,"学校经费, 科研经费",良好,航天学院
教师,荷兰,国际会议,"学校经费, 科研经费",良好,航天学院
学生,美国,国际会议,"学校经费, 科研经费",良好,机电工程学院
学生,美国,国际会议,科研经费,一般,航天学院
教授,澳大利亚,国际会议,学校经费,优秀,化工学院
教师,美国,访问考察,学校经费,优秀,交通科学与工程学院
教师,美国,访问考察,学校经费,优秀,校本部机关
教师,美国,访问考察,学校经费,优秀,化工学院
教师,美国,访问考察,学校经费,优秀,校本部机关
教师,美国,访问考察,学校经费,良好,校本部机关
副教授,俄罗斯,国际会议,学校经费,良好,人文与社会科学学院
教授,俄罗斯,国际会议,学校经费,优秀,外国语学院
教师,俄罗斯,国际会议,学校经费,良好,校本部机关
教师,俄罗斯,国际会议,学校经费,良好,校本部机关
副教授,俄罗斯,国际会议,学校经费,优秀,外国语学院
学生,英国，法国，比利时，德国，荷兰,留学进修,费用自理,优秀,建筑学院
学生,中国台湾,合作研究,科研经费,良好,能源科学与工程学院
教师,澳大利亚,国际会议,"境外邀请方, 学校经费",一般,威海校区
教师,澳大利亚,国际会议,"境外邀请方, 学校经费",良好,威海校区
教师,澳大利亚,国际会议,"境外邀请方, 学校经费",优秀,威海校区
教师,香港,访问考察,学院经费,良好,深圳研究生院
教师,俄罗斯,合作研究,学校经费,良好,校本部机关
教师,香港,合作研究,学院经费,良好,深圳研究生院
教授,英国,访问考察,"科研经费, 费用自理",优秀,建筑学院
副教授,日本,国际会议,科研经费,优秀,化工学院
教师,美国,访问考察,"学校经费, 学院经费",良好,经济与管理学院
教师,美国,合作研究,学校经费,良好,电气工程及自动化学院
学生,中国台湾,留学进修,"学校经费, 费用自理",良好,机电工程学院
学生,中国台湾,留学进修,"学校经费, 费用自理",良好,人文与社会科学学院
学生,美国,国际会议,"学校经费, 科研经费",优秀,材料科学与工程学院
教师,美国,国际会议,"学校经费, 科研经费",良好,交通科学与工程学院
学生,美国,访问考察,费用自理,优秀,电子与信息工程学院
教师,新加坡,国际会议,学校经费,优秀,化工学院
教师,新加坡,国际会议,学校经费,优秀,化工学院
学生,新加坡,国际会议,科研经费,优秀,化工学院
学生,澳大利亚,国际会议,"学校经费, 科研经费",一般,市政环境工程学院
学生,美国,留学进修,学校经费,优秀,航天学院
学生,澳大利亚,国际会议,学校经费,良好,市政环境工程学院
教师,香港,国际会议,科研经费,良好,基础与交叉科学研究院
教师,香港,国际会议,科研经费,优秀,材料科学与工程学院
教师,香港,国际会议,科研经费,优秀,材料科学与工程学院
学生,泰国,访问考察,学校经费,良好,经济与管理学院
教师,美国,国际会议,科研经费,优秀,市政环境工程学院
学生,韩国,访问考察,学校经费,良好,机电工程学院
学生,韩国,访问考察,学校经费,良好,电气工程及自动化学院
学生,韩国,访问考察,学校经费,良好,电子与信息工程学院
学生,韩国,访问考察,学校经费,一般,机电工程学院
学生,韩国,访问考察,学校经费,一般,电子与信息工程学院
学生,韩国,访问考察,学校经费,优秀,理学院
学生,韩国,访问考察,学校经费,良好,机电工程学院
学生,韩国,访问考察,学校经费,良好,电子与信息工程学院
学生,韩国,访问考察,学校经费,良好,机电工程学院
学生,韩国,访问考察,学校经费,优秀,理学院
教师,日本,国际会议,"学校经费, 科研经费",良好,计算机科学与技术学院
,中国台湾,国际会议,科研经费,良好,材料科学与工程学院
学生,德国,合作研究,"学校经费, 科研经费",良好,材料科学与工程学院
教师,美国,国际会议,科研经费,优秀,土木工程学院
教师,美国,国际会议,"学校经费, 科研经费",良好,交通科学与工程学院
教师,美国,国际会议,"学校经费, 科研经费",良好,交通科学与工程学院
教师,美国,国际会议,"学校经费, 科研经费",良好,交通科学与工程学院
教师,澳大利亚,合作研究,"境外邀请方, 科研经费",优秀,电气工程及自动化学院
教师,美国,国际会议,"学校经费, 科研经费",良好,经济与管理学院
教师,新加坡,国际会议,学校经费,优秀,校本部机关
教师,英国,国际会议,学校经费,良好,航天学院
学生,美国,留学进修,"学校经费, 科研经费",良好,土木工程学院
教师,俄罗斯,国际会议,学校经费,良好,校本部机关
教师,俄罗斯,国际会议,学校经费,良好,校本部机关
教授,俄罗斯,国际会议,学校经费,优秀,电气工程及自动化学院
教授,俄罗斯,国际会议,学校经费,优秀,基础与交叉科学研究院
教授,俄罗斯,国际会议,学校经费,优秀,校本部机关
副教授,俄罗斯,国际会议,学校经费,优秀,电气工程及自动化学院
学生,俄罗斯,合作研究,科研经费,良好,交通科学与工程学院
学生,意大利,国际会议,"学校经费, 科研经费",良好,电气工程及自动化学院
教师,美国,访问考察,"学校经费, 学院经费",良好,计算机科学与技术学院
教师,美国,访问考察,科研经费,良好,计算机科学与技术学院
学生,美国,留学进修,学校经费,优秀,材料科学与工程学院
学生,韩国,国际会议,科研经费,初级,能源科学与工程学院
,澳门,国际会议,科研经费,良好,机电工程学院
教师,韩国,国际会议,"学校经费, 科研经费",优秀,建筑学院
教师,韩国,国际会议,"学校经费, 科研经费",良好,能源科学与工程学院
教师,韩国,国际会议,"学校经费, 科研经费",优秀,能源科学与工程学院
学生,美国,国际会议,科研经费,一般,交通科学与工程学院
副教授,韩国,国际会议,"学校经费, 科研经费",良好,建筑学院
副教授,韩国,国际会议,"学校经费, 科研经费",良好,建筑学院
,韩国,国际会议,"学校经费, 科研经费",优秀,建筑学院
教师,马来西亚,合作研究,学校经费,优秀,校本部机关
教师,澳大利亚,合作研究,科研经费,良好,计算机科学与技术学院
学生,德国,国际会议,科研经费,一般,航天学院
副教授,英国,国际会议,科研经费,良好,计算机科学与技术学院
学生,美国,国际会议,"学校经费, 科研经费",优秀,材料科学与工程学院
教师,美国,合作研究,学校经费,良好,材料科学与工程学院
学生,意大利,国际会议,"学校经费, 科研经费",良好,航天学院
学生,瑞士,国际会议,"科研经费, 费用自理",优秀,经济与管理学院
学生,美国,访问考察,费用自理,良好,威海校区
学生,美国,国际会议,"学校经费, 科研经费",良好,航天学院
学生,澳大利亚,国际会议,学校经费,优秀,市政环境工程学院
学生,德国,项目洽谈,科研经费,优秀,市政环境工程学院
教师,美国,访问考察,"学校经费, 学院经费",优秀,经济与管理学院
教师,美国,访问考察,"学校经费, 学院经费",优秀,航天学院
教师,美国,访问考察,"学校经费, 学院经费",良好,计算机科学与技术学院
教师,美国,访问考察,"学校经费, 学院经费",优秀,人文与社会科学学院
教师,美国,访问考察,"学校经费, 学院经费",良好,化工学院
教师,美国,访问考察,"学校经费, 学院经费",优秀,电子与信息工程学院
教师,美国,访问考察,"学校经费, 学院经费",良好,建筑学院
教师,美国,访问考察,"学校经费, 学院经费",良好,机电工程学院
学生,美国,访问考察,费用自理,良好,英才学院
副教授,美国,合作研究,科研经费,优秀,基础与交叉科学研究院
教师,墨西哥,国际会议,科研经费,优秀,材料科学与工程学院
副教授,香港,国际会议,科研经费,优秀,材料科学与工程学院
教授,德国,合作研究,科研经费,优秀,市政环境工程学院
教授,德国,合作研究,科研经费,优秀,市政环境工程学院
教师,日本,合作研究,"境外邀请方, 学院经费",一般,英才学院
学生,日本,国际会议,学校经费,优秀,电子与信息工程学院
学生,荷兰,访问考察,学校经费,优秀,经济与管理学院
教授,德国,合作研究,科研经费,优秀,市政环境工程学院
学生,柬埔寨,访问考察,科研经费,优秀,航天学院
教师,新西兰,国际会议,科研经费,优秀,航天学院
教师,新西兰,国际会议,科研经费,优秀,航天学院
教授,澳大利亚,合作研究,学院经费,良好,化工学院
学生,美国,国际会议,科研经费,良好,能源科学与工程学院
学生,加拿大,留学进修,学校经费,良好,化工学院
教师,柬埔寨,国际会议,"学校经费, 科研经费",优秀,航天学院
教师,爱尔兰，英国,国际会议,科研经费,优秀,经济与管理学院
教授,法国,合作研究,"境外邀请方, 科研经费",优秀,电气工程及自动化学院
教师,香港,合作研究,学校经费,良好,计算机科学与技术学院
学生,香港,合作研究,学校经费,初级,软件学院
学生,香港,合作研究,学校经费,初级,英才学院
学生,香港,合作研究,学校经费,初级,计算机科学与技术学院
教师,香港,合作研究,学校经费,初级,计算机科学与技术学院
教师,德国，比利时,合作研究,"学校经费, 学院经费",良好,基础与交叉科学研究院
教师,德国，比利时,合作研究,"学校经费, 学院经费",良好,化工学院
教师,德国，比利时,合作研究,"学校经费, 学院经费",优秀,化工学院
教师,香港,国际会议,学校经费,优秀,土木工程学院
教师,澳大利亚,合作研究,科研经费,优秀,航天学院
教师,澳大利亚,合作研究,科研经费,优秀,航天学院
学生,比利时，德国，法国，荷兰，英国,访问考察,费用自理,初级,计算机科学与技术学院
教师,爱尔兰,国际会议,科研经费,优秀,经济与管理学院
教师,阿拉伯联合酋长国,合作研究,科研经费,优秀,经济与管理学院
,英国,实习培训,"学校经费, 学院经费",一般,校本部机关
,英国,实习培训,"学校经费, 学院经费",一般,英才学院
,英国,实习培训,"学校经费, 学院经费",一般,校本部机关
教师,英国,实习培训,"学校经费, 学院经费",良好,计算机科学与技术学院
教师,巴基斯坦,国际会议,境外邀请方,优秀,计算机科学与技术学院
教师,美国,访问考察,科研经费,优秀,经济与管理学院
副教授,香港,合作研究,科研经费,优秀,威海校区
,巴基斯坦,国际会议,境外邀请方,良好,计算机科学与技术学院
教师,澳大利亚,留学进修,学校经费,良好,土木工程学院
教师,美国,国际会议,学院经费,优秀,经济与管理学院
教师,澳大利亚,国际会议,科研经费,优秀,土木工程学院
教师,美国,合作研究,科研经费,优秀,化工学院
副教授,美国,合作研究,科研经费,优秀,化工学院
教师,美国,合作研究,科研经费,优秀,化工学院
副教授,美国,合作研究,科研经费,优秀,化工学院
教授,美国,合作研究,科研经费,良好,化工学院
副教授,美国,合作研究,科研经费,良好,材料科学与工程学院
教师,美国,国际会议,科研经费,良好,土木工程学院
教师,美国,实习培训,费用自理,良好,机电工程学院
教师,香港,国际会议,科研经费,优秀,航天学院
学生,中国台湾,留学进修,"学校经费, 费用自理",一般,经济与管理学院
教师,新加坡,国际会议,"学校经费, 科研经费",优秀,经济与管理学院
学生,美国,访问考察,费用自理,良好,电子与信息工程学院
教师,美国,国际会议,"学校经费, 科研经费",优秀,航天学院
教师,美国,国际会议,"学校经费, 科研经费",良好,航天学院
教师,美国,国际会议,"学校经费, 科研经费",良好,航天学院
教师,美国,国际会议,"学校经费, 科研经费",良好,航天学院
学生,香港,国际会议,科研经费,良好,计算机科学与技术学院
,俄罗斯,国际会议,学校经费,一般,航天学院
教授,日本,国际会议,科研经费,优秀,化工学院
教师,中国台湾,访问考察,"学校经费, 科研经费",良好,能源科学与工程学院
教师,中国台湾,访问考察,"学校经费, 科研经费",良好,能源科学与工程学院
教师,中国台湾,访问考察,"学校经费, 科研经费",优秀,能源科学与工程学院
教师,中国台湾,访问考察,"学校经费, 科研经费",优秀,能源科学与工程学院
教师,中国台湾,访问考察,"学校经费, 科研经费",优秀,能源科学与工程学院
教师,中国台湾,访问考察,"学校经费, 科研经费",一般,能源科学与工程学院
教师,中国台湾,访问考察,"学校经费, 科研经费",良好,能源科学与工程学院
教师,中国台湾,访问考察,"学校经费, 科研经费",优秀,能源科学与工程学院
教授,美国,访问考察,科研经费,优秀,计算机科学与技术学院
教师,美国,国际会议,学校经费,优秀,校本部机关
教授,美国,合作研究,科研经费,优秀,机电工程学院
学生,中国台湾,访问考察,费用自理,一般,材料科学与工程学院
学生,中国台湾,访问考察,费用自理,一般,材料科学与工程学院
教师,中国台湾,访问考察,费用自理,良好,电子与信息工程学院
学生,中国台湾,访问考察,费用自理,良好,材料科学与工程学院
教师,美国,国际会议,"学校经费, 科研经费",优秀,材料科学与工程学院
教师,美国,国际会议,"学校经费, 科研经费",良好,材料科学与工程学院
教师,俄罗斯,国际会议,学校经费,良好,食品科学与工程学院
教师,俄罗斯,国际会议,学校经费,优秀,电气工程及自动化学院
学生,柬埔寨,国际会议,费用自理,良好,航天学院
教师,中国台湾,国际会议,科研经费,优秀,交通科学与工程学院
教师,美国,国际会议,"学校经费, 科研经费",良好,材料科学与工程学院
教师,美国,国际会议,"学校经费, 科研经费",良好,材料科学与工程学院
,美国,国际会议,"学校经费, 科研经费",良好,材料科学与工程学院
教师,美国,国际会议,"学校经费, 科研经费",良好,材料科学与工程学院
教师,美国,国际会议,"学校经费, 科研经费",良好,材料科学与工程学院
,美国,国际会议,"学校经费, 科研经费",良好,电子与信息工程学院
教师,美国,国际会议,"学校经费, 科研经费",良好,电子与信息工程学院
副教授,美国,访问考察,学校经费,优秀,化工学院
副教授,美国,访问考察,学校经费,优秀,化工学院
教师,美国,访问考察,学校经费,良好,化工学院
教师,美国,国际会议,学校经费,优秀,校本部机关
副教授,美国,访问考察,学校经费,良好,校本部机关
教师,美国,国际会议,"学校经费, 科研经费",优秀,航天学院
教师,印度,国际会议,科研经费,良好,电气工程及自动化学院
副教授,俄罗斯,合作研究,学校经费,一般,威海校区
教师,俄罗斯,合作研究,学校经费,优秀,威海校区
教师,俄罗斯,合作研究,学校经费,优秀,校本部机关
校长,俄罗斯,访问考察,学校经费,良好,校本部机关
教授,香港,合作研究,学校经费,良好,化工学院
教师,香港,合作研究,学校经费,良好,化工学院
教授,香港,合作研究,学校经费,良好,基础与交叉科学研究院
教授,香港,合作研究,学校经费,良好,化工学院
学生,瑞士,留学进修,学校经费,良好,建筑学院
教授,俄罗斯,访问考察,学校经费,良好,理学院
教师,俄罗斯,访问考察,学校经费,一般,理学院
教师,俄罗斯,访问考察,学校经费,良好,校本部机关
副教授,俄罗斯,访问考察,学校经费,优秀,理学院
学生,日本,国际会议,科研经费,良好,电气工程及自动化学院
教师,美国,国际会议,科研经费,良好,材料科学与工程学院
教师,新加坡,合作研究,学校经费,良好,土木工程学院
教师,新加坡,合作研究,学校经费,良好,土木工程学院
教授,俄罗斯,访问考察,学校经费,优秀,理学院
教师,韩国,合作研究,学院经费,初级,威海校区
教师,韩国,合作研究,学院经费,一般,威海校区
院长,韩国,合作研究,学院经费,优秀,威海校区
教师,越南,合作研究,科研经费,优秀,计算机科学与技术学院
学生,美国,国际会议,"学校经费, 学院经费",良好,计算机科学与技术学院
教师,加拿大,合作研究,科研经费,优秀,电子与信息工程学院
教授,韩国,合作研究,科研经费,一般,威海校区
教授,韩国,合作研究,科研经费,良好,威海校区
副教授,韩国,合作研究,科研经费,良好,威海校区
教师,智利,国际会议,科研经费,良好,土木工程学院
教师,英国,合作研究,学校经费,一般,英才学院
教师,英国,合作研究,学校经费,一般,校本部机关
教师,英国,合作研究,学校经费,一般,校本部机关
教师,英国,合作研究,学校经费,良好,计算机科学与技术学院
教师,美国,国际会议,"学校经费, 科研经费",良好,土木工程学院
教授,日本,合作研究,"境外邀请方, 科研经费",优秀,市政环境工程学院
教师,日本,访问考察,学院经费,优秀,建筑学院
教师,日本,访问考察,学院经费,良好,建筑学院
教师,日本,访问考察,学院经费,良好,建筑学院
学生,英国,留学进修,学校经费,优秀,土木工程学院
,英国,留学进修,费用自理,初级,航天学院
学生,马来西亚,国际会议,科研经费,良好,电气工程及自动化学院
教师,新加坡,合作研究,科研经费,优秀,经济与管理学院
学生,美国,国际会议,"学校经费, 科研经费",优秀,土木工程学院
学生,美国,国际会议,科研经费,良好,机电工程学院
学生,中国台湾,留学进修,学校经费,初级,人文与社会科学学院
学生,中国台湾,留学进修,学校经费,初级,人文与社会科学学院
学生,英国,留学进修,费用自理,良好,航天学院
学生,德国,留学进修,学校经费,良好,航天学院
教师,美国,国际会议,"学校经费, 科研经费",良好,电子与信息工程学院
学生,英国,留学进修,学院经费,良好,计算机科学与技术学院
学生,英国,留学进修,学院经费,良好,计算机科学与技术学院
学生,英国,留学进修,学院经费,初级,英才学院
学生,英国,留学进修,学院经费,良好,电气工程及自动化学院
教师,英国,留学进修,学院经费,一般,计算机科学与技术学院
学生,英国,留学进修,学院经费,良好,计算机科学与技术学院
学生,英国,留学进修,学院经费,良好,电气工程及自动化学院
学生,英国,留学进修,学院经费,一般,计算机科学与技术学院
学生,英国,留学进修,学院经费,一般,计算机科学与技术学院
学生,英国,留学进修,学院经费,良好,英才学院
学生,英国,留学进修,学院经费,优秀,航天学院
学生,英国,留学进修,学院经费,初级,航天学院
学生,英国,留学进修,学院经费,初级,英才学院
学生,英国,留学进修,学校经费,良好,计算机科学与技术学院
学生,韩国,国际会议,科研经费,优秀,航天学院
教师,美国,国际会议,学校经费,优秀,材料科学与工程学院
教师,美国,国际会议,科研经费,优秀,威海校区
教师,德国,访问考察,科研经费,优秀,材料科学与工程学院
学生,中国台湾,留学进修,学校经费,初级,理学院
学生,中国台湾,留学进修,学校经费,一般,人文与社会科学学院
学生,中国台湾,留学进修,学校经费,良好,航天学院
副教授,美国,合作研究,科研经费,良好,理学院
学生,日本,合作研究,境外邀请方,一般,市政环境工程学院
教师,美国,国际会议,科研经费,优秀,航天学院
教师,德国,合作研究,学校经费,良好,基础与交叉科学研究院
教师,以色列,国际会议,科研经费,优秀,经济与管理学院
学生,日本,留学进修,费用自理,良好,材料科学与工程学院
学生,日本,留学进修,费用自理,良好,理学院
学生,日本,留学进修,费用自理,良好,电气工程及自动化学院
教师,美国,国际会议,科研经费,优秀,航天学院
教师,加拿大,合作研究,学院经费,一般,建筑学院
教师,加拿大,合作研究,学院经费,良好,建筑学院
,英国,留学进修,费用自理,一般,人文与社会科学学院
,英国,留学进修,费用自理,优秀,经济与管理学院
,英国,留学进修,费用自理,优秀,理学院
,英国,留学进修,费用自理,良好,电气工程及自动化学院
,英国,留学进修,费用自理,良好,理学院
,英国,留学进修,费用自理,良好,交通科学与工程学院
,英国,留学进修,费用自理,良好,市政环境工程学院
,英国,留学进修,费用自理,一般,经济与管理学院
,英国,留学进修,费用自理,良好,电气工程及自动化学院
,英国,留学进修,费用自理,初级,航天学院
,英国,留学进修,费用自理,优秀,建筑学院
,英国,留学进修,费用自理,良好,化工学院
,英国,留学进修,费用自理,良好,理学院
,英国,留学进修,费用自理,良好,机电工程学院
,英国,留学进修,费用自理,良好,航天学院
教师,澳大利亚,国际会议,"学校经费, 科研经费",一般,航天学院
教师,澳大利亚,国际会议,"学校经费, 科研经费",良好,航天学院
学生,美国,国际会议,学校经费,优秀,经济与管理学院
学生,中国台湾,合作研究,费用自理,良好,能源科学与工程学院
教师,泰国,合作研究,学院经费,良好,机电工程学院
教师,泰国,合作研究,学院经费,良好,机电工程学院
,美国,国际会议,学校经费,良好,机电工程学院
,美国,国际会议,学校经费,一般,机电工程学院
,美国,国际会议,学校经费,一般,机电工程学院
,美国,国际会议,学校经费,良好,机电工程学院
,美国,国际会议,学校经费,良好,机电工程学院
,美国,国际会议,学校经费,良好,机电工程学院
,美国,国际会议,学校经费,良好,机电工程学院
,美国,国际会议,学院经费,优秀,机电工程学院
教师,美国,访问考察,学校经费,优秀,市政环境工程学院
学生,韩国,国际会议,科研经费,良好,电气工程及自动化学院
教师,日本,合作研究,"学校经费, 科研经费",优秀,电子与信息工程学院
教师,美国,国际会议,"学校经费, 科研经费",良好,经济与管理学院
教师,俄罗斯,访问考察,学校经费,优秀,校本部机关
教师,法国,国际会议,"学校经费, 科研经费",良好,电子与信息工程学院
教师,法国,国际会议,"学校经费, 科研经费",良好,电子与信息工程学院
教师,法国,国际会议,"学校经费, 科研经费",优秀,电子与信息工程学院
教师,法国,国际会议,"学校经费, 科研经费",优秀,电子与信息工程学院
学生,新加坡,国际会议,学校经费,一般,机电工程学院
,法国,国际会议,"学校经费, 科研经费",良好,电子与信息工程学院
,法国,国际会议,"学校经费, 科研经费",优秀,电子与信息工程学院
,法国,国际会议,"学校经费, 科研经费",优秀,电子与信息工程学院
教师,美国,国际会议,"学校经费, 学院经费, 科研经费",优秀,经济与管理学院
院长,美国,国际会议,科研经费,优秀,市政环境工程学院
教师,智利,国际会议,科研经费,优秀,土木工程学院
学生,瑞士，法国,访问考察,费用自理,良好,建筑学院
